,francise_name,address,TEL
0,일산만자고개점,경기 고양시 일산서구 덕이로 225-3 2층 203호,031-911-0667
1,경기광주밀목점,경기 광주시 중앙로 327 ,NULL
2,수원시청역점,경기 수원시 팔달구 효원로 278 파비오더씨타 109호,NULL
3,인천청학용담공원점,인천 연수구 용담로 44 102호,032-221-0032
4,양산경동스마트점,경남 양산시 신덕계로 34 상가동 102호,055-383-8382
5,마산합성두산위브점,"경남 창원시 마산회원구 팔용로 89 상가동 1층 107호(합성동, 창원두산위브더센트럴 1단지)",055-256-5048
6,장림두산제니스점,부산 사하구 장림로 199 402동 1층 16호,051-966-9995
7,경북청도냉정점,경북 청도군 청도읍 냉정1길 7 1층,054-372-7770
8,당정역점,경기 군포시 고산로211번길 31 1층 107호,NULL
9,전남곡성옥과점,전남 곡성군 옥과면 대학로 140 (리문리),061-363-8888
10,청주가경점,"충북 청주시 흥덕구 장구봉로 71 14동 103호(가경동, 덕일한마음아파트)",043-903-0705
11,천안역점,충남 천안시 동남구 은행길 2 1층,041-622-6777
12,종로르메이에르점,"서울 종로구 종로 19 1층 108-2호(종로1가, 르메이에르종로타운1)",070-8887-8111
13,수원영통벽적골점,경기 수원시 영통구 덕영대로1555번길 16 생활편익시설동 1층 132호,031-548-4404
14,광주첨단쌍암점,"광주 광산구 월계로 217 1층 104호(쌍암동, 첨단프라자)",062-972-2767
15,인천성지초등학교점,인천 계양구 아나지로247번길 11 1층 108호,070-7734-1349
16,대전중리점,대전 대덕구 한밭대로 1158 ,070-8704-8700
17,고양DMC플렉스데시앙점,경기 고양시 덕양구 향동로 217 RB134호,02-6048-2829
18,마천중앙시장점,서울 송파구 마천로41길 1 ,NULL
19,광주운암롯데캐슬점,광주 북구 동운로213번길 36 1층(운암동),062-513-7111
20,상계보람점,서울 노원구 한글비석로 474 보람상가 147호,070-7585-8229
21,파주동문그린시티점,경기 파주시 조리읍 대원로 22 나동 107호,031-947-1689
22,광주평동점,광주 광산구 평동로 801 1층,062-447-7333
23,진천터미널점,충북 진천군 진천읍 중앙북로 20 ,043-753-7719
24,과천RF사옥점,경기 과천시 과천대로12길 110 제1동 1층 105호,NULL
25,춘천거두리점,강원특별자치도 춘천시 동내면 공지로 70-51 (거두리),NULL
26,창원성주동점,경남 창원시 성산구 대암로 247 1층 108호,070-7757-5677
27,용인한숲시티점,경기 용인시 처인구 남사읍 한숲로 83 5BL 122호,NULL
28,천안자이타워점,충남 천안시 서북구 2공단1로 17 B120호,070-7755-9844
29,봉담수기교차로점,경기 화성시 봉담읍 세자로 369-3 1층,NULL
30,회현SK리더스점,서울 중구 퇴계로 72 1층,02-3789-7880
31,선릉한티중앙점,서울 강남구 역삼로 420 (대치동),NULL
32,수원탑동점,경기 수원시 권선구 탑동로 5 1층 101호,070-8676-7567
33,광주상무엘리체점,광주 서구 월드컵4강로197번길 9 1층,062-714-1724
34,인천검단제일프라자점,인천 서구 이음5로 34 106호,010-4174-3402
35,화곡역점,서울 강서구 화곡로 154 청산빌딩 1층,070-8880-2622
36,정선민둥산역점,강원특별자치도 정선군 남면 무릉1로 116 (무릉리),033-804-7979
37,양산상북보건소점,경남 양산시 상북면 상북중앙로 404 1층,055-785-2568
38,무안오룡푸르지오점,전남 무안군 일로읍 오룡번영1로 26 상가동 1층 105호(오룡 푸르지오 파르세나),061-281-6111
39,인천약산초점,인천 남동구 백범로 374 1층,NULL
40,광주하남지식센터점,광주 광산구 하남산단6번로 57 1층,062-464-2253
41,세종부강점,세종특별자치시 부강면 부강외천로 76 ,044-863-1133
42,서초1동점,서울 서초구 효령로 314 108호,010-4084-1039
43,인천연수영남점,인천 연수구 먼우금로252번길 27-1 지상1층 일부호(연수동),032-821-8582
44,인천청라국제도시역점,인천 서구 에코로 65 제1층 제근생동 119호,032-721-7151
45,중앙대광명병원점,경기 광명시 덕안로104번길 17 제지1층 제B130-1호(일직동),010-8980-8893
46,용인구성점,"경기 용인시 기흥구 용구대로 2398 (마북동, 연원마을벽산아파트) 상가동 212호(마북동, 연원마을 벽산아파트)",NULL
47,여주현암점,경기 여주시 도예로 40 상가동 101호,031-886-7474
48,광주시청역점,광주 서구 치평로 112 1층 108호,062-447-3371
49,예천시장점,경북 예천군 예천읍 시장로 143 1층,054-988-9952
50,담양백동주공점,전남 담양군 담양읍 미리산길 66 (지침리),061-382-4437
51,안양종합운동장점,경기 안양시 동안구 평촌대로 371 (비산동),NULL
52,철원동송점,강원특별자치도 철원군 동송읍 금학로 230 (이평리),010-7218-1899
53,개포구룡초교점,서울 강남구 개포로 265 1층 107호,02-577-1321
54,대전신탄진점,대전 대덕구 대청로 18 ,NULL
55,홍성내포중앙점,충남 홍성군 홍북읍 청사로 152 107호,041-634-8880
56,대전천동리더스시티점,대전 동구 안샘로 11 ,042-272-0277
57,시흥배곧테크노밸리점,"경기 시흥시 서울대학로 59-69 1층 117,118,119호(배곧동, 배곧테크노밸리)",031-8042-6649
58,충북제천강저점,충북 제천시 청풍호로10길 31 컴포즈커피,043-646-7008
59,회기역점,서울 동대문구 이문로 42-1 (휘경동),NULL
60,마포경찰서점,서울 마포구 마포대로 180 101호 컴포즈커피,010-4257-0308
61,전남함평점,전남 함평군 함평읍 중앙길 94 ,061-322-5692
62,인천송도해양경찰청점,"인천 연수구 해돋이로 118 (송도동, 마린프라자)",032-833-0327
63,오송2산단점,충북 청주시 흥덕구 오송읍 오송생명7로 148 ,043-238-3690
64,사천사남점,경남 사천시 사남면 조동길 34 101호(더원타워),055-957-3553
65,증산벚꽃길점,"서울 은평구 증산로 445 (신사동, 한독패션)",070-8211-2180
66,문래에이스하이테크점,"서울 영등포구 경인로 775 (문래동3가, 에이스하이테크시티)",070-4153-7070
67,대전경성큰마을점,"대전 서구 대덕대로162번길 23 1층 일부호(갈마동, 삼영빌딩)",NULL
68,성신여대점,서울 성북구 동소문로24길 9 ,02-929-4160
69,전주인후점,전북특별자치도 전주시 덕진구 건산로 244 ,0708-211-0927
70,가평조종점,경기 가평군 조종면 현창로38번길 5-1 ,NULL
71,마산성호푸르지오점,경남 창원시 마산합포구 천하장사로 62 (성호동),NULL
72,청주강서점,충북 청주시 흥덕구 강서로 118 ,043-237-2103
73,서귀포섭지코지점,제주특별자치도 서귀포시 성산읍 섭지코지로26번길 6 (고성리),064-755-6600
74,충남부여중앙점,충남 부여군 부여읍 석탑로 51 (구아리),010-7408-7649
75,인천박촌역점,인천 계양구 장제로 1003 ,032-272-1005
76,관악신사교차로점,서울 관악구 조원로 103 ,NULL
77,전주에코3블럭점,전북특별자치도 전주시 덕진구 세병로 92 113호,063-278-3999
78,고흥녹동점,전남 고흥군 도양읍 비봉로 167 (봉암리),NULL
79,고흥녹동점,전남 고흥군 도양읍 비봉로 167 102호,NULL
80,인천더샵아르테점,인천 미추홀구 구월로8번길 18-62 근생1동 b1층 104호,070-7585-7235
81,천안단대호수점,충남 천안시 동남구 천호지길 27 101호,041-554-8898
82,김해안동공단사거리점,경남 김해시 김해대로2635번길 7 (안동),055-326-0316
83,보라매롯데낙천대점,"서울 동작구 여의대방로10길 38 (신대방동, 보라매롯데낙천대아파트)",NULL
84,진천금호어울림점,충북 진천군 이월면 송림1길 19 상가동 104호,043-533-9298
85,청주오송점,충북 청주시 흥덕구 오송읍 오송생명3로 65-15 (연제리),NULL
86,대구황금네거리점,대구 수성구 청수로24길 14 (두산동),NULL
87,천호역힐스테이트점,"서울 강동구 천호대로 1024 힐스테이트천호역에비뉴 119호,124호",NULL
88,일산식사점,경기 고양시 일산동구 위시티2로11번길 11 위시티휴먼빌 제1층 제근생 3동 135호,031-964-2024
89,수원구매탄시장점,경기 수원시 영통구 중부대로246번길 41 (매탄동),NULL
90,경산하양우미린점,경북 경산시 하양읍 서사도리4로 5 1층 102호,070-7717-7544
91,홍대와우산점,서울 마포구 와우산로 151 (서교동),070-7807-9790
92,양산웅상대로점,경남 양산시 웅상대로 1270 (삼호동),NULL
93,곤지암터미널점,경기 광주시 곤지암읍 곤지암로 49 (곤지암리),NULL
94,순천조례점,"전남 순천시 장선배기길 19 (조례동, 순천중앙신협 금당지점)",NULL
95,수유시장점,서울 강북구 도봉로 251 1층 일부 2칸 (수유동),02-987-1679
96,밀양내이신촌점,경남 밀양시 창밀로 3566-2 (내이동),055-802-8803
97,서울강서초점,서울 양천구 오목로 34 (신월동),02-6959-1559
98,광명새마을시장점,경기 광명시 광명로 834 광명 루미에르 스위첸 상가 1층 123호,02-2060-7257
99,파주맥금동버스종점점,경기 파주시 금물다리길 282 ,031-946-5551
100,속초여고점,강원특별자치도 속초시 배움터길 4 (교동),033-635-2000
101,대구이곡점,대구 달서구 이곡공원로 17 (이곡동),070-5057-0003
102,대전낭월점,대전 동구 산내로 1333 ,042-283-0380
103,제주외도점,제주특별자치도 제주시 일주서로 7298 1층,070-8691-2362
104,상대원중앙점,경기 성남시 중원구 금상로 18 메디원빌딩 102호,031-745-8550
105,경기광주초월도서관입구점,"경기 광주시 초월읍 경충대로 1254 (대쌍령리, 대쌍빌딩)",NULL
106,종로YMCA점,서울 종로구 종로 69 1층 109호,02-723-0857
107,창원지귀시장점,경남 창원시 의창구 창이대로 199 ,055-606-7747
108,당진시립중앙도서관점,충남 당진시 당진중앙2로 130 (읍내동),041-355-3646
109,광명현대테라타워점,경기 광명시 오리로651번길 8 (하안동),NULL
110,삼척항점,강원특별자치도 삼척시 이사부길 25 (정하동),033-575-4345
111,영주풍기점,경북 영주시 풍기읍 기주로 44 (동부리),054-633-6200
112,진해경화시장점,경남 창원시 진해구 충장로 357 109호,055-713-7931
113,창원신화테크노밸리점,경남 창원시 의창구 평산로 23 (팔용동),NULL
114,광주수완대방대주점,광주 광산구 풍영로200번길 21 (장덕동),062-951-2100
115,세종산울점,"세종특별자치시 산울2로 10 B동 B-107호(산울동, 산울마을6단지근린생활시설)",044-998-8096
116,강남포이점,서울 강남구 개포로 223 101호 102호,070-8883-8000
117,김포시청본관점,경기 김포시 사우중로 1 김포시청본관 지하1층,070-8834-9004
118,강릉입암점,강원특별자치도 강릉시 월대산로 64 ,NULL
119,광주학동역점,광주 동구 남문로 694-26 (학동),062-412-4146
120,인천학익삼거리점,인천 미추홀구 소성로 200 ,NULL
121,진천혁신도시점,충북 진천군 덕산읍 대하로 133 ,070-8874-2575
122,순창터미널점,전북특별자치도 순창군 순창읍 장류로 355 ,063-652-6548
