,francise,address,TEL
0,둔촌동역점,서울시 강동구 양재대로 1367,02-478-1205
1,김제모다아울렛점,전북특별자치도 김제시 용지면 콩쥐팥쥐로 844,063-770-8989
2,시흥배곧한라점,경기도 시흥시 서울대학로 172-20,070-4647-1013
3,종로정동사거리점,서울특별시 종로구 새문안로 46,NULL
4,대전대흥자이점,대전광역시 중구 충무로107번길 122,070-5056-4401
5,제주신비로점,제주특별자치도 제주시 주르레길 1,NULL
6,대전삼성아파트점,대전광역시 중구 계룡로 856,042-525-1229
7,양구버스터미널점,강원특별자치도 양구군 양구읍 중심로 196,033-854-7008 
8,마포시민공원점,제주특별자치도 제주시 구좌읍 월정3길 60,02-332-8631
9,대구으뜸병원점,대구광역시 중구 국채보상로 532-1,070-7575-0705
10,홍익대제3기숙사점,서울특별시 마포구 성미산로 55,070-4099-3800
11,순천서면점,전라남도 순천시 서면 삼산로 291,061-811-0677
12,잠실여고후문점,서울특별시 송파구 가락로 140,02-416-0321
13,전북임실점,전북특별자치도 임실군 임실읍 운수로 51,063-778-8777
14,광양칠성점,전라남도 광양시 광양읍 칠성리 126,070-7575-0700
15,은현농협에너지점,경기도 양주시 은현면 화합로 1148,070-7575-2448
16,대전안골네거리점,대전광역시 서구 동서대로 994 ,070-4099-0330
17,의정부호원한주점,경기도 의정부시 평화로 323,031-877-5190
18,대구만촌역태왕점,대구광역시 수성구 달구벌대로 2599,053-753-7487
19,안양포도원점,경기도 안양시 동안구 포도원로 4,031-429-1343
20,빽다방 빵연구소 안성당왕점,경기도 안성시 안성맞춤대로 1182 (당왕동),031-677-1182
21,대전효촌마을점,대전광역시 동구 동서대로1668번길 42,070-5100-6060
22,오산궐동점,경기도 오산시 궐리사로 31,070-4247-0925
23,속초해수욕장점,강원특별자치도 속초시 해오름로171,033-633-1022
24,퇴계원중학교점,경기도 남양주시 퇴계원읍 퇴계원로 53,031-527-7789
25,광명기아타운점,경기도 광명시 기아로 46,070-8211-3105
26,제주서광로동성길점,제주특별자치도 제주시 동성길 4 ,070-4333-2111
27,경기광주퇴촌점,경기도 광주시 퇴촌면 광동로 72,070-8822-1680
28,광명두산위브점,경기도 광명시 광덕산로 26,070-5055-1511
29,평택소사벌삼성타워점,경기도 평택시 평남로 858,070-7575-0707
30,익산마동풍경채점,전북특별자치도 익산시 서동로166,063-843-3464
31,대구복현네거리점,대구광역시 북구 동북로 297,070-4006-0270
32,부산부곡점,부산광역시 금정구 부곡로 130,051-512-7997
33,남양주호평점,경기도 남양주시 늘을3로 65-8,070-8780-0925
34,중랑묵동신도점,서울특별시 중랑구 중랑역로 273,02-6956-3594
35,광주고산점,경기도 광주시 고산길 34,NULL
36,대전홍도점,대전광역시 동구 동산초교로23번길 3,064-803-0661 
37,제주한라대점,제주특별자치도 제주시 한라대학로 73-1,064-803-0661 
38,천안성정현대점,충청남도 천안시 서북구 쌍용대로 297,070-5055-2779
39,서울한국외대점,서울특별시 동대문구 이문로 119 ,070-7575-0101 
40,부산역점,부산광역시 동구 중앙대로196번길 6-5,070-8666-3002
41,인천송도유원지점,인천광역시 연수구 청량로104,032-286-7979
42,군포신환점,경기도 군포시 번영로 577,NULL
43,시흥은계호수점,경기도 시흥시 은계로 260,070-7575-2987
44,인천송림아이원점,인천광역시 동구 송미로 7 ,032-765-0090
45,빽다방 빵연구소 구미옥계점,경상북도 구미시 산호대로25길 10 (옥계동),070-4800-6656
46,부산구포시장점,부산광역시 북구 구포시장5길 11,051-336-1147
47,김해아이스퀘어점,"경상남도 김해시 김해대로 2342, 아이스퀘어몰 1층 A-105호",070-5222-2022
48,인천검단연세프라자점,인천광역시 서구 이음5로 20,070-5100-0998
49,담양죽녹원점,전라남도 담양군 담양읍 객사4길 38-18,061-382-3337
